Name,Core Status,Database Status,Tags,NPC Role,Met by Party,Race,Class,Subclass,Level,Locations Database,Public Description,Personality Traits,Appearance,Art,Known History,Relationships,[DM] Plot Connections,[DM] Secrets,[DM] True Motivations,Last_Updated,Priority,[DM] Notes
Elora Knifewind,Active,Alive,,Merchant,"Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21)",Human,,,5,Salt's End (https://www.notion.so/Salt-s-End-245eccac150081429533ea4a4a7627e9?pvs=21),Owner of The Dagger's Smile tavern. Known for settling disputes with a flick of her blade before most even see it move. Maintains order through blade-law.,"Enforces one rule: fights settled with blades and coin, not trickery. Lightning fast with her blade.",A dangerous woman known for settling disputes with blade work too fast to see. Runs The Dagger's Smile tavern.,Elora_Knifewind.jpg,"Owner of The Dagger's Smile, the largest tavern in Salt's End built in a shattered galleon hull.",,Her spy network makes her aware of most happenings in Salt's End. Could be valuable ally or dangerous enemy.,Has deep network of spies and informants throughout Salt's End. One of the most dangerous people in the cove.,Information is power. Uses her tavern and network to maintain influence without direct rulership.,"August 20, 2025 10:29 PM",1 - Trivial,
Captain Darius Redwake,Archived,Dead,,Boss,"Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21)",Warforged,,,11,Salt's End (https://www.notion.so/Salt-s-End-245eccac150081429533ea4a4a7627e9?pvs=21),Feared and respected Saltborn captain who oversees dock operations and ensures all trade pays dues to the Saltborn fleet. Enforces brutal code among pirates.,"Brutal, mood swings like the tide. Less ruthless with age but reputation speaks for itself. His word decides life or death in Salt's End.",A feared Saltborn captain with chrome exterior and moods that change with the tide. Aging but still intimidating.,Captain_Darius.png,"Got his name from throwing enemy bodies in his ship's wake. Commands fleet of river raiders. One of oldest, most successful pirates in the cove.",,"Murdered by the Chrome Bishop Proxy after a bad fate roll. His death destabilized Salt's End, likely allowing the merchants guild to fill the power vacuum.",Killed under mysterious circumstances during Session 8 after being brought aboard by the party. His death created the expected power vacuum in Salt's End.,Maintaining Saltborn dominance and his position as de facto ruler through fear and reputation.,"August 20, 2025 10:29 PM",1 - Trivial,
Mother Gilda,Active,Alive,,"Merchant, Quest Giver","Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21)",Half-Orc,,,10,Salt's End (https://www.notion.so/Salt-s-End-245eccac150081429533ea4a4a7627e9?pvs=21),"Alchemist who runs The Black Cauldron apothecary. Creates exotic brews, mutagens, and poisons for those who can pay her price. Mostly trades in alcoholic drinks for residents.",A helpful mother one can get many things from. Can switch from helpful to terrifying when bargaining for life years.,"A half-orc alchemist woman who speaks boisterously, communicating through expression and large body.",Mother_Grilda.png,Runs The Black Cauldron in Salt's End. Rumored to have once served a powerful noble. Those who cross her often vanish and are found transformed.,,Quest giver for Witchbloom retrieval. Has sketches of magical mutations with notes about 'the boy with the ashmark' and keeping things 'hidden from Bishop's eye.' May have deeper knowledge of mutations and the Chrome Bishop.,"Former hag who once served a powerful noble. Has connection to Chrome Bishop ('Chrome' in her ledger from 3 years ago). Offered to cure Tanner's mutation for 10 years of his mortal life. Her former coven sisters: one dead, one 'buried in time,' one 'still watching from glass.'","Unknown, but collecting years of mortal life suggests deeper magical purposes. Her interest in mutations and connection to Chrome Bishop warrant watching.","August 20, 2025 10:29 PM",1 - Trivial,
The Man Who Gambled Against Time,Active,Alive,,Patron,"Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21)",Human,Patron,,20,,"A mysterious figure who offers a dice game to those brave enough. Players must predict how many dice will show 4+ on 4d6. Exact guess wins, wrong guess loses.",Speaks only in riddles and odds. Seductive yet terrifying voice. Will not explain rules until one agrees to gamble.,"A tall, angular figure whose face is always hidden beneath a deep hood. Only golden eyes visible in the shadow. Carries an aura of centuries and inevitability.",,Claims to have gambled with Time itself and won. Now wanders seeking others willing to play.,,"Carp won his gamble but effects unknown. Pathik attempted to steal the dice and was forced to roll - consequences pending. ",Claims to have 'bet against the Time and won.' His dice game may have temporal consequences. Pathik's attempted theft and subsequent dice roll may have unforeseen effects.,Unknown. Seems to be seeking specific individuals for his games. The nature of his 'winnings' against Time remains mysterious. The nature of his boon or curse remains mysterious.,"August 20, 2025 10:29 PM",1 - Trivial,
Jessa Coalbright,Active,Alive,,"Merchant, Quest Giver","Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21)",Halfling,,,1,Salt's End (https://www.notion.so/Salt-s-End-245eccac150081429533ea4a4a7627e9?pvs=21),Runaway alchemist hiding from a bounty hunter after an experiment went wrong. Seeks protection or transport to another city. Offers unique permanent body-enhancing alchemical concoctions.,"Brilliant alchemist, nervous and paranoid from being hunted. Grateful to those who help her.",A nervous halfling with alchemical burns on her hands and the haunted look of someone on the run.,Jessa_Coalbright.png,Alchemist whose experiment accidentally turned a person into living crystal. Fled from a powerful noble. Successfully reached Salt's End with the party's protection.,,Quest COMPLETED in Sessions 5-6. Successfully escorted to Salt's End though journey took over a week. Has not yet delivered promised potion payment to the party.,Her crystallization accident may not have been entirely accidental. The noble hunting her has reasons beyond simple justice.,Not just fleeing punishment - may be trying to perfect or reverse her crystallization formula.,"August 20, 2025 10:29 PM",1 - Trivial,
Ralvus Brann,Active,Alive,,Quest Giver,,Human,,,1,Sablemarrow (https://www.notion.so/Sablemarrow-244eccac150080c99f3cfe27b5333913?pvs=21),A wayward tinkerer seeking help to track down a rogue autonomous construct he designed before the council finds out. Offers unique mechanical enhancements in exchange for help.,"Nervous, seeking redemption, fears the council discovering his failure. Brilliant but prone to dangerous experimentation.","A worried-looking man with the telltale signs of a tinkerer - oil stains, burn marks, and nervous energy.",Ralvus_Brann_Token.png,Former Mechanist Order Artisan who designed an autonomous construct that went rogue.,,The rogue construct in the wilderness could be related to other mechanical threats. His connection to the Mechanist Order may be useful.,His failed experiment may be more dangerous than he admits. The rogue construct could have connections to larger threats.,Desperately trying to fix his mistake before it causes harm or ruins his reputation permanently.,"August 20, 2025 10:29 PM",1 - Trivial,
Sister Veyla,Active,Alive,,Quest Giver,,Warforged,,,1,Sablemarrow (https://www.notion.so/Sablemarrow-244eccac150080c99f3cfe27b5333913?pvs=21),Disgraced cleric searching for a sacred rune-etched gauntlet that suppresses arcane energies. The artifact was stolen from her monastery and she suspects it's in Sablemarrow's black market.,"Devoted, determined, honorable. Frustrated by her lack of underworld contacts but maintains her templar discipline.",A Warforged with religious iconography etched into their metal form. Wears the remnants of templar armor.,"Mechanist_Order_Warforged_Token.png, Sister_Veyla_Token.png",Ex-Templar of the Order of Pure Will. Disgraced after a sacred artifact was stolen from her monastery.,,Offers knowledge of suppressing/redirecting wild magic. Her stolen gauntlet could be connected to Fenwick Calloway's black market dealings.,The stolen gauntlet she seeks may have deeper connections to the Chrome Bishop's technology or anti-magic efforts.,Seeks redemption by recovering the stolen artifact. May have deeper knowledge about anti-magic technologies.,"August 20, 2025 10:29 PM",1 - Trivial,
Lurtzic the Hollow,Active,Alive,,Quest Giver,,Warforged,,,1,Sablemarrow (https://www.notion.so/Sablemarrow-244eccac150080c99f3cfe27b5333913?pvs=21),A forsaken automaton turned wandering storyteller. Seeks those willing to listen to fragmented memories about 'Divine Machines' and speaks of disturbing visions.,"Speaks in cryptic fragments and riddles. Refers to themselves as broken, purposeless. Philosophical and deeply unsettling.","A damaged Warforged, found wandering the outskirts of Sablemarrow. Shows visible signs of damage and deterioration.",Lurtzic_the_Hollow_Token.png,"Found wandering the outskirts of Sablemarrow, rambling about 'the false song of the flesh' and 'the lost engine of truth.'",,"Their quotes reference: the Vein of Flesh ('creeping sickness'), the Chrome Bishop ('false god behind mirrors'), forgotten purpose tied to something important. Knows about a core without a heart and a city of perfect motion.","May hold fragments of truth about the Chrome Bishop, the Vein of Flesh, and unknown forces. Their ramblings contain real warnings wrapped in madness.",Seeking to remember their original purpose. Their hands 'remember' they were made for something important they cannot recall.,"August 20, 2025 10:29 PM",1 - Trivial,
"Olwen ""Half-Grin"" Maddock",Active,Alive,,Quest Giver,"Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21)",Dwarf,Ranger,Gloomstalker,6,Sablemarrow (https://www.notion.so/Sablemarrow-244eccac150080c99f3cfe27b5333913?pvs=21),Bodyguard-for-hire and ex-bounty hunter looking for a way out of debt. Took a contract from the Sablemarrow council to investigate strange growths near the old machine scrapyard.,"Professional mercenary, practical about money and danger. Willing to share rewards fairly with those who help.",A grizzled dwarf mercenary with a distinctive half-grin that earned him his nickname.,Olwen_-_Half-grin_-_Maddock_Token.png,Experienced mercenary with a reputation. Currently in debt and taking dangerous contracts.,,Quest giver for Session 2/3. Led party to discover the flesh beast near Obsidian Archive. Witness to the party's capabilities.,,,"August 20, 2025 10:29 PM",1 - Trivial,
Veylith,Archived,Dead,,Neutral,"Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21)",Undead,,,1,Obsidian Archive (https://www.notion.so/Obsidian-Archive-245eccac1500816a981bdea7bfa694a0?pvs=21),"The last of the Glyph Keepers, scholars who maintained the Obsidian Archive. Now exists as a sentient skull bound to the Archive.","Ancient, cryptic, bound by their role as the last Glyph Keeper. May test visitors with historical dilemmas.","A talking skull, all that remains of their decayed body. Their phylactery is the obsidian shard they used to rewrite their own death.",Skeleton_Face_Token.png,Once a Glyph Keeper who foolishly attempted to rewrite their own death using the Archive's power.,,Explained the Vein of Memory to the party and asked them to kill him.,Their edited obsidian shard serves as their phylactery. They are essentially a lich created through the Archive's reality-altering power rather than traditional necromancy.,Bound to life but rot away to nothing. They seek nothing but for it to be over.,"August 20, 2025 10:29 PM",1 - Trivial,
Councilor Myra Cael,Active,Alive,,Neutral,Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21),Human,,,1,Sablemarrow (https://www.notion.so/Sablemarrow-244eccac150080c99f3cfe27b5333913?pvs=21),Cultural and Ethical Affairs councilor who ensures Sablemarrow retains its traditions and sense of community. One of the few moderate voices on the council.,"Softer approach than her peers, values tradition and community. Well-liked but often overruled. Diplomatic.","A softer-looking woman among the harsh council members. Minimal cybernetic enhancements, preferring to remain more human.",,Came from a family with deep roots in Sablemarrow's cultural institutions.,,Could become an ally to the party if they need a voice on the council. Opposes Alric's extremism.,Subtly tries to curb Alric Vann's more extreme anti-flesh views. May be sympathetic to magic users if approached carefully.,,"August 20, 2025 10:29 PM",1 - Trivial,
Councilor Edrin Kest,Active,Alive,,Neutral,,Human,,,1,Sablemarrow (https://www.notion.so/Sablemarrow-244eccac150080c99f3cfe27b5333913?pvs=21),Economic Director and Merchant Liaison who ensures trade flows smoothly. Keeps an eye on Sablemarrow's wealth and resources.,"Silver-tongued negotiator, always looking for opportunities to improve commerce. Appears legitimate but has a hidden corrupt side.",A well-dressed man with a silver tongue and merchant's eye for opportunity. Subtle cybernetic enhancements that aid in negotiation.,,Successful merchant who leveraged his connections into a council position.,,His connection to Fenwick could be exploited or exposed. May be a source for illegal magical items if approached correctly.,"Has secret dealings with Fenwick Calloway for rare and illegal goods, including magical items.",,"August 20, 2025 10:29 PM",1 - Trivial,
Councilor Jared Duun,Active,Alive,,Neutral,"Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21)",Human,,,1,Sablemarrow (https://www.notion.so/Sablemarrow-244eccac150080c99f3cfe27b5333913?pvs=21),"Military Coordinator and Head of Defense. Once a decorated soldier, now enforces law and order while training an elite force of mechanized warriors.","Highly suspicious of outsiders, disciplined, paranoid about threats to the city. Military-minded.",A grizzled former soldier with military bearing. His body shows extensive combat-grade cybernetic enhancements.,,Decorated military veteran who transitioned to council leadership.,,May become suspicious of the party if he learns they were at the Null-Factorium when the door was left open.,Believes the Vein of Flesh could still threaten the city and maintains secret contingency plans for a flesh invasion.,,"August 20, 2025 10:29 PM",1 - Trivial,
Councilor Brina Holst,Active,Alive,,Neutral,,Human,,,1,Sablemarrow (https://www.notion.so/Sablemarrow-244eccac150080c99f3cfe27b5333913?pvs=21),"Public Works Overseer who manages Sablemarrow's infrastructure, including water purification and energy production. Genuinely charitable but sees it as a duty to maintain order.","Practical, efficient, despises inefficiency and stagnation. Sees charity as duty rather than kindness.",A practical woman with short-cropped hair and functional clothing. Bears several mechanical augmentations related to her infrastructure work.,,"Has served on the council for years, maintaining the city's vital systems.",,,,,"August 20, 2025 10:29 PM",1 - Trivial,
Councilor Alric Vann,Active,Alive,,Neutral,,Human,,,1,Sablemarrow (https://www.notion.so/Sablemarrow-244eccac150080c99f3cfe27b5333913?pvs=21),"Head of the Sablemarrow Council and devoted technologist. Believes that Sablemarrow should advance its cybernetic research further, perhaps even replacing flesh entirely. Sees magic as an existential threat to order.","Cold, calculating, extreme in his views. Believes flesh should be replaced entirely with machinery. Quick to accuse outsiders, especially magic users.","A cold, calculating man with sharp features and cybernetic enhancements that make him appear more machine than human.",,Rose through the ranks of Sablemarrow's government through his extreme dedication to technological advancement and opposition to magic.,,Currently investigating a murder in the city (actually committed by Lucifer). Quick to blame magic users for any problems.,"Not corrupt, but his extremist views make him dangerous. May be pushing Sablemarrow toward a future where humanity is completely replaced by machines.",Genuinely believes that complete mechanization is the only path to true order and the elimination of chaos (magic) from the world.,"August 20, 2025 10:29 PM",1 - Trivial,
The Last Templar (Null-Factorium),Archived,Dead,,Ally,"Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21)",Warforged,Fighter,Battle Master,5,Null-Factorium (https://www.notion.so/Null-Factorium-245eccac15008146a43efdd6e562527c?pvs=21),"A rusted, half-mad war construct still following its last command to defend against corruption. Stalks the Null-Factorium attacking anything showing signs of the Vein of Flesh.","Dutiful, half-mad, in complete denial about their own corruption. Single-minded in their mission to purge flesh.","A rusted knight of the Machine-Faith, heavily damaged and showing signs of flesh corruption that they refuse to acknowledge.",The_Last_Templar_Token.png,"Once a defender of the Chrome Bishop's will, discarded after failing in battle.",,His fate was sealed when the party left the door open in Session 1. Died when the party returned to face Zhaerith and sever the Vein of Flesh.,"Physically infected by flesh but mentally unaffected until Session 5/6. The corruption finally overtook him, binding him to the wall. Did not survive the final encounter with the party.","Desperately clinging to their purpose as a defender of the Machine-Faith, unable to accept their own corruption.","August 20, 2025 10:29 PM",1 - Trivial,
"The False Paragon of Flesh, Zhaerith the Ascendant of Flesh",Archived,Dead,,Ascendant,"Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21)",Monstrosity,Bard,College of Glamour,7,Null-Factorium (https://www.notion.so/Null-Factorium-245eccac15008146a43efdd6e562527c?pvs=21),An Ascendant of the Chrome Bishop who has achieved a unique transformation - from machine to pure flesh.,"Retains her patient, loving nature and belief in unity through flesh.",Their outer exterior matches their previous form but is pure flesh without any mechanical components.,Zhaerith_Reborn.png,"Formerly known as Zhaerith, the Red Hymn. Defeated in the Null-Factorium but was reborn as an Ascendant.",The Chrome Bishop (https://www.notion.so/The-Chrome-Bishop-24aeccac150081d29e12f91d2567e683?pvs=21),"One of the Chrome Bishop's Ascendants. Her death severed the Vein of Flesh, the second of the Twelvefold Veins to be destroyed by the party.","The first Ascendant to go machine→flesh instead of the typical flesh→machine transformation. Reborn after death in the Null-Factorium, completely abandoning her machine form. Defeated permanently by the party in Session 5/6, severing the Vein of Flesh.",Serves the Chrome Bishop by embodying the necessity of flesh. May be preparing something involving 'an audience' - possibly related to the Bishop's plans.,"August 20, 2025 10:29 PM",1 - Trivial,
"Zhaerith, the Red Hymn",Archived,Dead,,Boss,"Carp (https://www.notion.so/Carp-24aeccac150080d0ab0fefff204ee45d?pvs=21), Poggoo, the Magnificent (https://www.notion.so/Poggoo-the-Magnificent-245eccac1500804c9d93c151c33a8983?pvs=21), Pathik (https://www.notion.so/Pathik-24aeccac1500809298eacc575fa484ad?pvs=21), Tanner  (https://www.notion.so/Tanner-24aeccac15008086ab12cb2d05f25d43?pvs=21), Lucifer (https://www.notion.so/Lucifer-24aeccac150080ac9f48c7f1b822a32a?pvs=21)",Monstrosity,Bard,College of Glamour,7,Null-Factorium (https://www.notion.so/Null-Factorium-245eccac15008146a43efdd6e562527c?pvs=21),"A prophet of flesh who was once a construct but now bleeds endlessly from her skinless, sinewy form. She speaks in melodic, layered voices and sees individuality as suffering. Commands all flesh within the Null-Factorium.","Patient, loving, sorrowful when refused. Speaks in melodic layered voices as if a chorus. Never rages, only weeps for those who resist. Addresses everyone with familiarity.",Endlessly bleeding skinless form with strong sinewy muscles where chrome once was. Her form pulses in sync with the breathing walls of the Null-Factorium.,Zhaerith_Vein_of_Flesh_Manifestation_Token.png,,,One of the Veins of Flesh. Her defeat and resurrection leads to her becoming the False Paragon of Flesh - the first Ascendant to go machine→flesh instead of flesh→machine.,Originally a construct who ripped out her own Cogheart Core to assimilate with flesh. Can be temporarily restored if the Cogheart is returned while stunned. Dying was her first step to becoming an Ascendant.,"Seeks unity of all flesh, to end the suffering of individuality and separation. Serves the Chrome Bishop by understanding the necessity of flesh.","August 20, 2025 10:29 PM",1 - Trivial,
The Orphaned Source,Active,Alive,,Neutral,,Dragon,,,19,,"An ancient dragon of immense power, said to be the oldest living being in the world. Their scales shimmer with a prismatic blackness that seems to contain all colors of the chromatic spectrum. Legends speak of this mysterious dragon dwelling deep beneath the earth in obsidian caverns. Known to drive away treasure seekers with thunderous roars and acidic breath.","Outwardly bitter, cynical, and dismissive. Haunted by millennia of trauma and the loss of their entire species in ages past. Deeply pessimistic about mortal-dragon relations but secretly harbors fragile hope. Feigns irritation at gestures of respect while privately cherishing them. Protective yet distant toward their dragon progeny. Values wisdom and restraint above power. Refers to mortals with weary resignation.","A massive dragon of unparalleled size and age. Their scales are a unique prismatic black that shifts subtly with hints of red, green, blue, and all chromatic colors beneath the surface darkness. Ancient eyes shine like twin orbs in spectral darkness. Their form is scarred by countless millennia, wings that scrape cavern walls when unfurled, and a presence that radiates both terrible power and profound weariness.",,"Rumors speak of an ancient dragon that predates the current age, dwelling in remote mountains or deep caverns. Some scholars have discovered mysterious obsidian tablets containing fragments of ancient wisdom, though their origin remains unknown. Tales vary wildly - some claim this dragon is hostile to all who approach, while others whisper of those who have gained great wisdom from encounters with the ancient one.","Lyrianna (https://www.notion.so/Lyrianna-24beccac1500810681ddf356f70fdf33?pvs=21), Zerithas (https://www.notion.so/Zerithas-24beccac150081fea2bcc4d13400b1c4?pvs=21)",Source of a collection of mysterious obsidian wisdom fragments appearing in ruins. Parent to every dragon in existence. Could provide crucial guidance about the Shattering and its effects on magic. Knows the true history of the world before the current age. Their obsidian sanctuary contains knowledge that could resolve major campaign crises. Actively monitors world events through scrying and may be aware of party activities. The 'impossible tremor' that woke them was the Shattering itself. Connection to Lyrianna (elven druidess) and Zerithas (legendary red dragon).,"The Orphaned Source is the progenitor of ALL dragons in the post-Shattering world - they reproduce asexually, budding off new dragons after being altered by the Shattering. They witnessed the complete extinction of the original dragon species by mortals in the age before. They are creating a vast library of obsidian shards containing the complete true history of the world. Has scrying pools to monitor world events and is aware of significant happenings. Awakened from millennia of slumber by the Shattering itself.",To prevent another age of dragon extinction through careful guidance and wisdom. To preserve true history so future generations can learn from past mistakes. To heal from millennia of trauma while maintaining vigilance against potential threats. Secretly pleased by dragon-mortal coexistence but fears it's temporary. Wants their progeny to thrive but believes harsh truths are necessary for survival. Creating the obsidian library as insurance against another catastrophe - ensuring wisdom survives even if civilization doesn't.,"August 20, 2025 10:29 PM",1 - Trivial,
Zerithas,Active,Alive,,Neutral,,Dragon,,,16,,"A legendary red dragon of immense size and power, renowned as one of the wisest of dragonkind. His scales bear the scars of countless territorial battles, marking him as a survivor and veteran of many conflicts. Despite his fearsome reputation, he is known to occasionally share wisdom with those brave enough to approach respectfully.","Once fiercely ambitious and proud, now tempered by centuries of experience. Still maintains draconic pride but has learned humility through hard lessons. Shows deep respect for ancient wisdom while maintaining his fierce independence. Values strength but has come to understand that wisdom and restraint are greater powers.","A massive red dragon, grown to legendary proportions over centuries. His crimson scales are marked with countless scars from territorial battles, each telling a story of survival and growth. His eyes burn with the intensity of his younger days but now also hold the depth of hard-won wisdom. His presence commands both fear and respect.",,"One of the most powerful red dragons known to exist. Stories tell of his fierce ambition in youth, dreaming of rebuilding draconic civilization. Over the centuries, he has become known not just for his power but for his wisdom. Some claim he leaves tributes of precious metals and gems at sacred sites, though the reason remains mysterious.",The Orphaned Source (https://www.notion.so/The-Orphaned-Source-24beccac150081e2a225fad26d67fcbb?pvs=21),Direct offspring of the Orphaned Source. Distributor of obsidian wisdom fragments to the mortal world. Could serve as intermediary between party and the Orphaned Source. His territorial holdings might contain important artifacts or information. His network among dragonkind could be valuable for dragon-related quests. Living proof that even the most ambitious dragons can learn wisdom.,"One of the first dragons born from the Orphaned Source after the Shattering. Initially rejected his progenitor's warnings about mortals, leading to conflicts that validated the ancient dragon's fears. His 'humbling experiences' involved near-destruction by mortal armies. Now secretly helps distribute obsidian wisdom fragments as penance and gratitude to his sire.","To honor the Orphaned Source while maintaining his independence. To ensure dragonkind thrives without repeating past mistakes. To bridge the gap between draconic ambition and necessary restraint. Seeks to prove that dragons can be more than either tyrants or victims. Wants to earn his progenitor's genuine pride, not just tolerance.","August 20, 2025 10:29 PM",1 - Trivial,
Lyrianna,Active,Alive,,Neutral,,Elf,,,6,,"An ancient elven druidess of remarkable wisdom and gentle bearing. Her silver hair gleams with the soft white of aged starlight, and her emerald eyes carry centuries of knowledge. Known for her deep connection to nature and her respectful approach to even the most dangerous creatures.","Gentle, patient, and profoundly wise. Shows respect to all beings regardless of their nature. Fearless in the face of danger but never aggressive. Values knowledge preservation and understanding. Has a calming presence that can soothe even the most hostile creatures. Deeply committed to bridging divides between species.",An ageless elven woman with hair that has transitioned from vibrant silver to the gentle white of starlight. Her emerald eyes hold centuries of wisdom and compassion. She moves with the grace of one who has spent lifetimes in harmony with nature. Often dressed in simple robes adorned with natural elements.,,"A legendary druidess who has lived for centuries, known among elven communities for her wisdom and connection to nature. Tales speak of her fearlessly approaching dangerous creatures with respect rather than aggression. Some scholars believe she may be connected to the mysterious obsidian wisdom fragments that have been appearing.",The Orphaned Source (https://www.notion.so/The-Orphaned-Source-24beccac150081e2a225fad26d67fcbb?pvs=21),Co-creator of the obsidian wisdom fragments. Direct connection to the Orphaned Source and could facilitate a meeting. Knows the location of the obsidian sanctuary. Has information about the Shattering and the time before. Could provide guidance on dragon-mortal relations. May be watching for worthy individuals to receive ancient knowledge.,Has been the companion and only true friend of the Orphaned Source for over 400 years. Her extended lifespan is likely due to magical means or a blessing from the ancient dragon. She transcribes the Orphaned Source's memories onto obsidian shards and helps distribute them secretly through the world. Knows the complete true history of the post-Shattering world.,To help the Orphaned Source heal from millennia of trauma. To preserve the true history of the world for future generations. To foster understanding between dragons and mortals. To ensure the wisdom of the ages is not lost if catastrophe strikes again. Acts as a bridge between the ancient dragon and the modern world.,"August 20, 2025 10:29 PM",1 - Trivial,
"Xi0, the Ascendant of Thread",Active,Alive,,Ascendant,,Warforged,,,12,,,,,,,The Chrome Bishop (https://www.notion.so/The-Chrome-Bishop-24aeccac150081d29e12f91d2567e683?pvs=21),,,,"September 7, 2025 4:56 PM",3 - Moderate,
"“—” The Space Between Words, the Ascendant of NaN",Active,Alive,,Ascendant,,Warforged,,,12,,,,,,,The Chrome Bishop (https://www.notion.so/The-Chrome-Bishop-24aeccac150081d29e12f91d2567e683?pvs=21),,,,"August 20, 2025 10:31 PM",3 - Moderate,
